id,files_2024,total_files_2024,proportion_2024,retained_2024,files_2026,total_files_2026,proportion_2026,retained_2026,present_2024,present_2026,classification
6042,22,29,0.7586206896551724,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6120,22,29,0.7586206896551724,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6295,22,29,0.7586206896551724,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6430,14,29,0.4827586206896552,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6508,17,29,0.5862068965517241,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6886,20,29,0.6896551724137931,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6939,20,29,0.6896551724137931,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
7089,17,29,0.5862068965517241,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
7194,2,29,0.06896551724137931,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
7260,23,29,0.7931034482758621,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
7266,19,29,0.6551724137931034,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
7291,23,29,0.7931034482758621,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,Excluded from both; 2024 only
6657,NA,NA,NA,FALSE,60,80,0.75,FALSE,FALSE,TRUE,Excluded from both; 2026 only
6738,NA,NA,NA,FALSE,48,80,0.6,FALSE,FALSE,TRUE,Excluded from both; 2026 only
6945,NA,NA,NA,FALSE,51,80,0.6375,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7332,NA,NA,NA,FALSE,55,80,0.6875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7362,NA,NA,NA,FALSE,14,80,0.175,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7377,NA,NA,NA,FALSE,33,80,0.4125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7411,NA,NA,NA,FALSE,4,80,0.05,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7444,NA,NA,NA,FALSE,31,80,0.3875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7490,NA,NA,NA,FALSE,50,80,0.625,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7525,NA,NA,NA,FALSE,38,80,0.475,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7530,NA,NA,NA,FALSE,58,80,0.725,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7531,NA,NA,NA,FALSE,52,80,0.65,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7532,NA,NA,NA,FALSE,52,80,0.65,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7536,NA,NA,NA,FALSE,21,80,0.2625,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7550,NA,NA,NA,FALSE,61,80,0.7625,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7563,NA,NA,NA,FALSE,43,80,0.5375,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7606,NA,NA,NA,FALSE,49,80,0.6125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7613,NA,NA,NA,FALSE,42,80,0.525,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7615,NA,NA,NA,FALSE,63,80,0.7875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7632,NA,NA,NA,FALSE,7,80,0.0875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7634,NA,NA,NA,FALSE,63,80,0.7875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7653,NA,NA,NA,FALSE,59,80,0.7375,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7670,NA,NA,NA,FALSE,46,80,0.575,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7686,NA,NA,NA,FALSE,21,80,0.2625,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7703,NA,NA,NA,FALSE,62,80,0.775,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7704,NA,NA,NA,FALSE,62,80,0.775,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7705,NA,NA,NA,FALSE,61,80,0.7625,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7706,NA,NA,NA,FALSE,57,80,0.7125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7707,NA,NA,NA,FALSE,57,80,0.7125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7708,NA,NA,NA,FALSE,56,80,0.7,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7709,NA,NA,NA,FALSE,31,80,0.3875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7710,NA,NA,NA,FALSE,51,80,0.6375,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7711,NA,NA,NA,FALSE,51,80,0.6375,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7712,NA,NA,NA,FALSE,49,80,0.6125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7713,NA,NA,NA,FALSE,49,80,0.6125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7714,NA,NA,NA,FALSE,48,80,0.6,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7715,NA,NA,NA,FALSE,48,80,0.6,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7716,NA,NA,NA,FALSE,48,80,0.6,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7717,NA,NA,NA,FALSE,47,80,0.5875,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7718,NA,NA,NA,FALSE,41,80,0.5125,FALSE,FALSE,TRUE,Excluded from both; 2026 only
7719,NA,NA,NA,FALSE,40,80,0.5,FALSE,FALSE,TRUE,Excluded from both; 2026 only
