id,files_2024,total_files_2024,proportion_2024,files_2026,total_files_2026,proportion_2026,classification
6042,22,29,0.7586206896551724,NA,NA,NA,Excluded from both; 2024 only
6120,22,29,0.7586206896551724,NA,NA,NA,Excluded from both; 2024 only
6295,22,29,0.7586206896551724,NA,NA,NA,Excluded from both; 2024 only
6430,14,29,0.4827586206896552,NA,NA,NA,Excluded from both; 2024 only
6508,17,29,0.5862068965517241,NA,NA,NA,Excluded from both; 2024 only
6886,20,29,0.6896551724137931,NA,NA,NA,Excluded from both; 2024 only
6939,20,29,0.6896551724137931,NA,NA,NA,Excluded from both; 2024 only
7089,17,29,0.5862068965517241,NA,NA,NA,Excluded from both; 2024 only
7194,2,29,0.06896551724137931,NA,NA,NA,Excluded from both; 2024 only
7260,23,29,0.7931034482758621,NA,NA,NA,Excluded from both; 2024 only
7266,19,29,0.6551724137931034,NA,NA,NA,Excluded from both; 2024 only
7291,23,29,0.7931034482758621,NA,NA,NA,Excluded from both; 2024 only
6657,NA,NA,NA,60,80,0.75,Excluded from both; 2026 only
6738,NA,NA,NA,48,80,0.6,Excluded from both; 2026 only
6945,NA,NA,NA,51,80,0.6375,Excluded from both; 2026 only
7332,NA,NA,NA,55,80,0.6875,Excluded from both; 2026 only
7362,NA,NA,NA,14,80,0.175,Excluded from both; 2026 only
7377,NA,NA,NA,33,80,0.4125,Excluded from both; 2026 only
7411,NA,NA,NA,4,80,0.05,Excluded from both; 2026 only
7444,NA,NA,NA,31,80,0.3875,Excluded from both; 2026 only
7490,NA,NA,NA,50,80,0.625,Excluded from both; 2026 only
7525,NA,NA,NA,38,80,0.475,Excluded from both; 2026 only
7530,NA,NA,NA,58,80,0.725,Excluded from both; 2026 only
7531,NA,NA,NA,52,80,0.65,Excluded from both; 2026 only
7532,NA,NA,NA,52,80,0.65,Excluded from both; 2026 only
7536,NA,NA,NA,21,80,0.2625,Excluded from both; 2026 only
7550,NA,NA,NA,61,80,0.7625,Excluded from both; 2026 only
7563,NA,NA,NA,43,80,0.5375,Excluded from both; 2026 only
7606,NA,NA,NA,49,80,0.6125,Excluded from both; 2026 only
7613,NA,NA,NA,42,80,0.525,Excluded from both; 2026 only
7615,NA,NA,NA,63,80,0.7875,Excluded from both; 2026 only
7632,NA,NA,NA,7,80,0.0875,Excluded from both; 2026 only
7634,NA,NA,NA,63,80,0.7875,Excluded from both; 2026 only
7653,NA,NA,NA,59,80,0.7375,Excluded from both; 2026 only
7670,NA,NA,NA,46,80,0.575,Excluded from both; 2026 only
7686,NA,NA,NA,21,80,0.2625,Excluded from both; 2026 only
7703,NA,NA,NA,62,80,0.775,Excluded from both; 2026 only
7704,NA,NA,NA,62,80,0.775,Excluded from both; 2026 only
7705,NA,NA,NA,61,80,0.7625,Excluded from both; 2026 only
7706,NA,NA,NA,57,80,0.7125,Excluded from both; 2026 only
7707,NA,NA,NA,57,80,0.7125,Excluded from both; 2026 only
7708,NA,NA,NA,56,80,0.7,Excluded from both; 2026 only
7709,NA,NA,NA,31,80,0.3875,Excluded from both; 2026 only
7710,NA,NA,NA,51,80,0.6375,Excluded from both; 2026 only
7711,NA,NA,NA,51,80,0.6375,Excluded from both; 2026 only
7712,NA,NA,NA,49,80,0.6125,Excluded from both; 2026 only
7713,NA,NA,NA,49,80,0.6125,Excluded from both; 2026 only
7714,NA,NA,NA,48,80,0.6,Excluded from both; 2026 only
7715,NA,NA,NA,48,80,0.6,Excluded from both; 2026 only
7716,NA,NA,NA,48,80,0.6,Excluded from both; 2026 only
7717,NA,NA,NA,47,80,0.5875,Excluded from both; 2026 only
7718,NA,NA,NA,41,80,0.5125,Excluded from both; 2026 only
7719,NA,NA,NA,40,80,0.5,Excluded from both; 2026 only
7720,NA,NA,NA,37,80,0.4625,Excluded from both; 2026 only
7721,NA,NA,NA,34,80,0.425,Excluded from both; 2026 only
7722,NA,NA,NA,34,80,0.425,Excluded from both; 2026 only
7723,NA,NA,NA,32,80,0.4,Excluded from both; 2026 only
7724,NA,NA,NA,32,80,0.4,Excluded from both; 2026 only
7725,NA,NA,NA,32,80,0.4,Excluded from both; 2026 only
7726,NA,NA,NA,27,80,0.3375,Excluded from both; 2026 only
7727,NA,NA,NA,28,80,0.35,Excluded from both; 2026 only
7728,NA,NA,NA,28,80,0.35,Excluded from both; 2026 only
7729,NA,NA,NA,25,80,0.3125,Excluded from both; 2026 only
7730,NA,NA,NA,21,80,0.2625,Excluded from both; 2026 only
7731,NA,NA,NA,21,80,0.2625,Excluded from both; 2026 only
