id,representation_2024,representation_2026,minimum_representation,classification
6025,1,0,0,Retained in 2024 only
6039,1,0,0,Retained in 2024 only
6042,0.7586206896551724,0,0,Excluded from both; 2024 only
6043,1,0,0,Retained in 2024 only
6054,1,0,0,Retained in 2024 only
6072,1,0,0,Retained in 2024 only
6082,1,0,0,Retained in 2024 only
6087,1,0,0,Retained in 2024 only
6088,1,0,0,Retained in 2024 only
6092,1,0,0,Retained in 2024 only
6094,1,0,0,Retained in 2024 only
6101,1,0,0,Retained in 2024 only
6120,0.7586206896551724,0,0,Excluded from both; 2024 only
6167,0.8620689655172413,0,0,Retained in 2024 only
6213,1,0,0,Retained in 2024 only
6225,1,0,0,Retained in 2024 only
6232,1,0,0,Retained in 2024 only
6239,1,0,0,Retained in 2024 only
6245,1,0,0,Retained in 2024 only
6246,0.8620689655172413,0,0,Retained in 2024 only
6248,1,0,0,Retained in 2024 only
6249,1,0,0,Retained in 2024 only
6250,1,0,0,Retained in 2024 only
6254,1,0,0,Retained in 2024 only
6266,1,0,0,Retained in 2024 only
6267,1,0,0,Retained in 2024 only
6268,0.896551724137931,0,0,Retained in 2024 only
6272,1,0,0,Retained in 2024 only
6287,1,0,0,Retained in 2024 only
6291,1,0,0,Retained in 2024 only
6295,0.7586206896551724,0,0,Excluded from both; 2024 only
6297,1,0,0,Retained in 2024 only
6298,1,0,0,Retained in 2024 only
6299,0.8275862068965517,0,0,Retained in 2024 only
6304,1,0,0,Retained in 2024 only
6318,1,0,0,Retained in 2024 only
6338,1,0,0,Retained in 2024 only
6345,1,0,0,Retained in 2024 only
6357,1,0,0,Retained in 2024 only
6367,1,0,0,Retained in 2024 only
6368,1,0,0,Retained in 2024 only
6384,1,0,0,Retained in 2024 only
6388,1,0,0,Retained in 2024 only
6395,1,0,0,Retained in 2024 only
6406,1,0,0,Retained in 2024 only
6418,1,0,0,Retained in 2024 only
6430,0.4827586206896552,0,0,Excluded from both; 2024 only
6445,1,0,0,Retained in 2024 only
6448,1,0,0,Retained in 2024 only
6491,1,0,0,Retained in 2024 only
6492,1,0,0,Retained in 2024 only
6499,0,1,0,Retained in 2026 only
6501,1,0,0,Retained in 2024 only
6504,1,0,0,Retained in 2024 only
6508,0.5862068965517241,0,0,Excluded from both; 2024 only
6510,1,0,0,Retained in 2024 only
6513,0,1,0,Retained in 2026 only
6517,1,0,0,Retained in 2024 only
6519,1,0,0,Retained in 2024 only
6521,0,0.95,0,Retained in 2026 only
6531,1,0,0,Retained in 2024 only
6536,1,0,0,Retained in 2024 only
6543,0,1,0,Retained in 2026 only
6549,1,0,0,Retained in 2024 only
6558,1,0,0,Retained in 2024 only
6560,0.8275862068965517,0,0,Retained in 2024 only
6575,1,0,0,Retained in 2024 only
6582,1,0,0,Retained in 2024 only
6589,0,0.9875,0,Retained in 2026 only
6591,1,0,0,Retained in 2024 only
6600,1,0,0,Retained in 2024 only
6603,1,0,0,Retained in 2024 only
6607,1,0,0,Retained in 2024 only
6623,1,0,0,Retained in 2024 only
6637,1,0,0,Retained in 2024 only
6648,1,0,0,Retained in 2024 only
6657,0,0.75,0,Excluded from both; 2026 only
6689,1,0,0,Retained in 2024 only
6738,0,0.6,0,Excluded from both; 2026 only
6773,1,0,0,Retained in 2024 only
6774,1,0,0,Retained in 2024 only
6776,1,0,0,Retained in 2024 only
6782,1,0,0,Retained in 2024 only
6785,1,0,0,Retained in 2024 only
6790,0,0.9125,0,Retained in 2026 only
6831,1,0,0,Retained in 2024 only
6836,0,0.9625,0,Retained in 2026 only
6839,1,0,0,Retained in 2024 only
6856,1,0,0,Retained in 2024 only
6862,1,0,0,Retained in 2024 only
6869,1,0,0,Retained in 2024 only
6876,1,0,0,Retained in 2024 only
6886,0.6896551724137931,0,0,Excluded from both; 2024 only
6892,1,0,0,Retained in 2024 only
6893,0,0.9,0,Retained in 2026 only
6894,1,0,0,Retained in 2024 only
6899,1,0,0,Retained in 2024 only
6906,1,0,0,Retained in 2024 only
6907,0,0.9375,0,Retained in 2026 only
6934,1,0,0,Retained in 2024 only
6939,0.6896551724137931,0,0,Excluded from both; 2024 only
6945,0,0.6375,0,Excluded from both; 2026 only
6946,0,1,0,Retained in 2026 only
6949,1,0,0,Retained in 2024 only
6950,0,0.9875,0,Retained in 2026 only
6951,1,0,0,Retained in 2024 only
6957,1,0,0,Retained in 2024 only
6961,1,0,0,Retained in 2024 only
6979,0,1,0,Retained in 2026 only
6980,0,1,0,Retained in 2026 only
6981,0,1,0,Retained in 2026 only
6982,0,1,0,Retained in 2026 only
6984,0,0.9375,0,Retained in 2026 only
6985,1,0,0,Retained in 2024 only
6988,0,1,0,Retained in 2026 only
6989,0,0.9625,0,Retained in 2026 only
6990,0,1,0,Retained in 2026 only
6992,0,0.9625,0,Retained in 2026 only
6995,0,1,0,Retained in 2026 only
6996,0,1,0,Retained in 2026 only
7002,1,0,0,Retained in 2024 only
7016,1,0,0,Retained in 2024 only
7027,1,0,0,Retained in 2024 only
7044,0,1,0,Retained in 2026 only
7047,1,0,0,Retained in 2024 only
7056,1,0,0,Retained in 2024 only
7060,1,0,0,Retained in 2024 only
7065,1,0,0,Retained in 2024 only
7071,0,1,0,Retained in 2026 only
